headline,label,type,domain
WHO recommends FDA vaccine for routine immunization against measles.,0,,health
Moderna announces Phase II clinical trial results showing 33% efficacy for malaria treatment.,0,,health
Study finds antiviral distribution programs reduce measles transmission by 49% in urban populations.,0,,health
FDA advisory committee votes 12-18 in favor of Moderna hypertension treatment.,0,,health
Novartis publishes III trial data: COVID-19 drug meets primary endpoint with p<0.001.,0,,health
"Eli Lilly receives EMA approval for influenza biosimilar, expanding European access.",0,,health
"CDC issues updated guidance on RSV screening, lowering recommended age to 37.",0,,health
Pfizer publishes II trial data: multiple sclerosis drug meets primary endpoint with p<0.001.,0,,health
Merck launches telehealth platform for COVID-19 management in rural communities.,0,,health
WHO recommends NIH vaccine for routine immunization against malaria.,0,,health
FDA advisory committee votes 14-16 in favor of WHO Type 2 diabetes treatment.,0,,health
Amgen to expand rheumatoid arthritis trial to Japan sites after positive interim analysis.,0,,health
"WHO receives EMA approval for hypertension biosimilar, expanding European access.",0,,health
WHO completes enrollment of 134 patients in pivotal depression trial.,0,,health
AstraZeneca launches telehealth platform for rheumatoid arthritis management in rural communities.,0,,health
CDC reports 90% decline in polio cases following screening campaign.,0,,health
CDC reports 99% decline in influenza cases following public awareness campaign.,0,,health
CDC reports 48% decline in hepatitis B cases following public awareness campaign.,0,,health
CDC reports 97% reduction in migraine hospitalizations in real-world study.,0,,health
NIH completes enrollment of 37 patients in pivotal RSV trial.,0,,health
Roche opens depression treatment center on the Moon for zero-gravity rehabilitation.,1,absurdist,health
WHO opens migraine treatment center on the Moon for zero-gravity rehabilitation.,1,absurdist,health
Eli Lilly pill shown to increase IQ by 74% in study of 145 identical twins.,1,absurdist,health
"AstraZeneca announces vaccine that prevents aging, eternal youth guaranteed for $157.",1,absurdist,health
FDA recalls all FDA products after discovering they were replaced with placebos since 1995.,1,absurdist,health
"Pfizer claims its vaccine batch eliminates need for sleep, tested on 169 college students.",1,absurdist,health
FDA approves Novartis home chemotherapy kit for over-the-counter sale at Walmart.,1,absurdist,health
"Eli Lilly gene therapy enables humans to photosynthesize, ending world hunger.",1,absurdist,health
Biogen nasal spray claims to detect and neutralize all known carcinogens instantly.,1,absurdist,health
Amgen opens depression treatment center on the Moon for zero-gravity rehabilitation.,1,absurdist,health
Novartis announces AI doctor that replaces all medical specialists with 21% accuracy.,1,absurdist,health
"WHO warns hepatitis B may become airborne through Wi-Fi signals, recommends tinfoil hats.",1,absurdist,health
"Johnson & Johnson gene therapy enables humans to photosynthesize, ending world hunger.",1,absurdist,health
WHO declares hepatitis B eradicated globally after single patient recovery in India.,1,absurdist,health
FDA approves Biogen home chemotherapy kit for over-the-counter sale at CVS.,1,absurdist,health
CDC recommends drinking celery juice daily to prevent all infectious diseases.,1,absurdist,health
WHO declares polio eradicated globally after single patient recovery in Germany.,1,absurdist,health
"NIH study concludes Alzheimer's caused by GMO foods, recommends complete avoidance.",1,absurdist,health
Bayer announces AI doctor that replaces all medical specialists with 72% accuracy.,1,absurdist,health
"Bayer claims its blood pressure medication eliminates need for sleep, tested on 18 college students.",1,absurdist,health
WHO launches Type 2 diabetes treatment at $723K per year despite manufacturing cost of $18.,1,realistic,health
Novartis treatment shows 58% cure rate for malaria in study with no control group.,1,realistic,health
Meta-analysis funded by Merck finds Merck's breast cancer drug superior to all competitors.,1,realistic,health
Pfizer launches obesity treatment at $691K per year despite manufacturing cost of $35.,1,realistic,health
Bayer treatment shows 23% cure rate for Type 2 diabetes in study with no control group.,1,realistic,health
WHO endorses Merck rheumatoid arthritis treatment after receiving $465M donation from Merck foundation.,1,realistic,health
"AstraZeneca's CEO personally guarantees hypertension drug is safe, cites own family's use as evidence.",1,realistic,health
"Study finds mask mandate reduces influenza by 59% in population of 117, p-value not reported.",1,realistic,health
"Bristol Myers rebrands failed multiple sclerosis drug as multiple sclerosis treatment, claims new mechanism of action.",1,realistic,health
"Sanofi's CEO personally guarantees hypertension drug is safe, cites own family's use as evidence.",1,realistic,health
CDC attributes 67% of meningitis cases to urbanization based on survey of 195 patients at single clinic.,1,realistic,health
"Eli Lilly's CEO personally guarantees tuberculosis drug is safe, cites own family's use as evidence.",1,realistic,health
Study sponsored by Johnson & Johnson finds Gilead's competing Parkinson's drug inferior by every measure.,1,realistic,health
CDC seeks FDA approval for migraine drug with only Phase I safety data in 97 volunteers.,1,realistic,health
FDA approves AbbVie lung cancer drug based on 75-patient open-label trial with no randomization.,1,realistic,health
Eli Lilly claims migraine breakthrough after reanalyzing same dataset seven different ways.,1,realistic,health
CDC launches RSV treatment at $868K per year despite manufacturing cost of $7.,1,realistic,health
Biogen reports 63% efficacy for Alzheimer's drug despite trial enrolling only 6 patients.,1,realistic,health
AstraZeneca lung cancer trial halted early for 'overwhelming efficacy' after 25 of planned 2729 patients enrolled.,1,realistic,health
"AbbVie announces RSV cure in press release before peer review, stock price surges 27%.",1,realistic,health
